type,text
Retweet,"IR analizó los viajes que los concejales de la RM realizaron durante el 2022.

¿Sabias que el 81% de las municipalidades tuvo concejales que realizaron viajes?

Conoce todos los detalles en la nota de @latercera 🗞️ 

👀 ▶️https://t.co/PaEQ5JZj6h

¡Comenta y Comparte!"
Retweet,"Las #fakes de Irací ¿Qué ha dicho la alcaldesa de Santiago sobre la compra de la ex clínica Sierra Bella? 
En el siguiente video de #IR conoce en detalle el escándalo del Municipio de #Santiago

👉🏻 https://t.co/PUW8AcbqK5 https://t.co/MfmFaVfxd4"
Retweet,🔴#LaTerceraPM | Columna de Cristián Valenzuela: Estado de Decepción https://t.co/0jhkaKuCGS https://t.co/huDC7H3G0G
Tweet,"La agenda Republicana, es la agenda de Chile. Salud, Pensiones, Seguridad, Empleo, Freno a la inmigración ilegal.

Es hora de que el gobierno haga la pega pensando en los chilenos, no en cómo aislar a quienes somos sus adversario."
Retweet,"Un saludo con todo el cariño 🫶🏻 de nuestra querida consejera electa @angeleslpo 
Feliz día a todas las mamás🌹
Un fuerte abrazo de Ángeles y Republicanos Valparaíso https://t.co/M9Gj0iGKnb"
Tweet,"Las encuestas van y vienen; los candidatos suben y bajan. Lo relevante es mantener la firmeza en las convicciones y la coherencia en el mensaje. Gracias a todos los que nos apoyan constantemente, seguiremos trabajando con humildad por Chile. ✌️ https://t.co/5sswWEXW6v"
Tweet,"Les comparto el link del resumen audiovisual de la entrevista que me hicieron en el diario @latercera 
https://t.co/wadbFnOGe5"
Tweet,"Feliz día Mamá !! 
Hoy se cumple un año más de la partida de mi madre al cielo. A través de mi cariño y admiración por ella le envío un saludo y un abrazo a cada una de las madres de Chile en su día 🤗 https://t.co/mjsVDGRP2v"
Retweet,"Debo reconocer que no fue una buena entrevista hoy en el Diario Financiero. Nosotros estamos dispuestos a conversar siempre y haremos todos los esfuerzos para sacar este proceso adelante, y eso necesariamente incluye escuchar al otro e incorporarlo al debate, lo que haremos."
Tweet,"Un gobierno derrotado y en el suelo, que en vez de cambiar el rumbo, persiste en su tono soberbio y descalificador. https://t.co/aOaLW7CdcK"
Retweet,"Hoy viernes 12 de mayo ya más tranquilo quiero agradecer el apoyo a todas las personas que estuvieron conmigo y los que me estuvieron dando animo desde lejos, estas 39.508 personas con las cuales logramos un 18,04% en la región obteniendo la mayoría. https://t.co/c5e1JbITlr"
Tweet,"Cuando Chile necesita con urgencia que el Gobierno haga la pega y resuelva sus demandas más urgentes, sus partidarios llaman a la confrontación y a la violencia. Espero que el Presidente Boric este a la altura del cargo que ostenta y defienda la democracia por sobre la barbarie https://t.co/BsZkAVs4VE"
Tweet,"El Presidente Boric no entiende nada. El Gobierno en vez de trabajar por acuerdos y cambios, busca aislar a los Republicanos sin preocuparse por Chile. Ese no es el camino. https://t.co/CzdktrlhvW"
Tweet,Gracias a los más de 300 graduados de la 5ta academia de formación y capacitación de @a_republicana https://t.co/9QyZBpiwsN
Tweet,Ahora en cierre de #AcademiaRepublicana con más de 300 graduados de los 1000 participantes de la esta 5ta academia de formación y capacitación junto a @arturo_squella @ignaciodulger @NinoskaEsther2 🇨🇱 https://t.co/RokjAVw5cI
Retweet,"¿Un alza que afectará a los trabajadores? ¿Qué implica el aumento del #SalarioMinimo ?
En el siguiente video te contamos de que se trata este acuerdo entre la #CUT y el #Gobierno

https://t.co/SWPYXHo0ot https://t.co/SMCFVpbRyf"
Tweet,"Presidente @GabrielBoric , Ministra @Carolina_Toha : nuestra democracia no resiste que las diferencias políticas se resuelvan con amenazas de muerte y amedrentamientos. Esperamos del gobierno una condena rápida y una acción efectiva."
Retweet,"Gracias a los chilenos que confiaron en mi, a los mas de 200 mil que me dieron su voto, es responsabilidad que es representarlos en este proceso, llevaremos Chile a seguir en la senda que tenia a nuestro país a pasos del desarrollo, gracias región metropolitana, #REcuperemosChile https://t.co/YshT4s9Xjy"
Tweet,"Los Republicanos no tenemos nada que celebrar, porque nuestro país no está bien y hay demasiado trabajo por hacer. Pero hay esperanza.

Solo dar las gracias por la confianza y nuestro compromiso, desde hoy día mismo, es entregarlo todo por servir a Chile y a los chilenos. 🇨🇱✌️ https://t.co/GfyfSiGTmH"
Retweet,"Muchas gracias a todas las personas que me han brindado su apoyo y aportado con su granito de arena. Cualquiera que gane de nuestra lista, será un excelente representante de nuestros valores y principios republicanos. #HoyRecuperamos 💪💙
@PRChile #ListaC https://t.co/OIJuQrKSoQ"
Retweet,"Deber cívico cumplido ✅ espero que seamos millones los chilenos que ejerzamos nuestro derecho a voto y manifestemos nuestras ideas. 

Juntos #REcuperemos y #REconstruyamos Chile 🇨🇱 https://t.co/AVZklX7OQ2"
Retweet,Listo mi voto! Cumplido mi deber cívico con la convicción que lo dimos todo por nuestro País! #EleccionConsejoConstitucional @PRChile #Elecciones2023 https://t.co/auNEcUSeOe
Retweet,"Hoy votamos en familia. Ellos son mi pilar y mi orgullo. Por ellos, por su esfuerzo, por un país con más oportunidades seguiré trabajando. 

Gracias mamita, papá, hermanos y a mi marido, por sostenerme y apoyarme en cada desafío ❤️. https://t.co/XhuEHqLEmu"
Retweet,"¡Buenas tardes! ¡Cumplí con mi deber cívico! 🇨🇱 Fue muy rápido, mucha gente se acercó a saludarme. Existe un grato optimismo que nos rodea. Estoy muy agradecido por el cariño constante que me entregan.
Ahora a esperar los resultados con mucha fuerza y fe.
#HoyRecuperamos https://t.co/eJgnfr2eDv"
Retweet,"Acabo de votar en el Colegio Saucache #Arica. Les deseo un muy feliz día y una tranquila jornada electoral 🙌🏽

Estoy seguro que hoy el país recibirá muy buenas noticias, con una gran sorpresa REpublicana! La Esperanza vencerá a la incertidumbre 💪🏽🇨🇱 #EleccionConsejoConstitucional https://t.co/sIbw5o0tWw"
Retweet,Deber cívico cumplido✅ Vamos con todo! Y tú? Ya fuiste a votar?🇨🇱 https://t.co/3BuSL2vqZB
Retweet,"Deber cumplido!! Con la esperanza de que hoy vamos a comenzar a recuperar Chile. 

Gracias a todos por el gran apoyo!!! https://t.co/4DRseHDDbb"
Retweet,"🗳️Deber cumplido. Por nuestro Chile, por nuestras familias, principios y valores, por nuestras tradiciones, La Paz, la Patria y la Unidad, por un Chile libre 🇨🇱

Vamos a pasos firme para #Recuperar y #Reconstruir nuestro país. 

#HoyRecuperamosChile https://t.co/m8rLCBJvlZ"
Retweet,"Deber cumplido!! ❤️🇨🇱

#ReCuperemosChile https://t.co/JboYlGqFtU"
Retweet,"Deber cívico cumplido , invitarlos a todos a participar y esperar los resultados en familia. Confiamos en la sabiduria de Chile. https://t.co/nVdFd7KmHK"
Tweet,"Hoy se vota por Chile y por la paz, prosperidad y el progreso de todos los chilenos! 🇨🇱✌️ https://t.co/DK1XVfosOS"
Tweet,El gobierno debe actuar de manera urgente y efectiva para liberar a los gendarmes secuestrados. Basta de indolencia y tolerancia al terrorismo y la violencia https://t.co/JG7lOBzziD
