type,text
Tweet,¿Estan de acuerdo con la propuesta de Chilevamos de que los ahorros de los chilenos sean administrados por el Estado? 🤔
Tweet,No permitas que los políticos expropien tus ahorros. 8 millones rechazaron para defender los ahorros de los chilenos. Hay que seguir defendiéndolos con más fuerza! . #ConMiPlataNo #SoloQuedaRepublicanos
Retweet,"Gracias @joseantoniokast por tu apoyo y por confiar en mí.
Es una gran alegría compartir el proyecto REpublicano contigo y dar juntos las peleas por la vida, la familia y la libertad.

#ParaVivirSinMiedo este 7 de mayo #VotaC13
Haz como JAK, vota #MacarenaBravo https://t.co/2Si4KQQwvg"
Tweet,"La Moneda es el lugar público por excelencia. Si el Presidente quiere escuchar música, leer un libro o jugar con su celular, que se vaya a su casa. Los profesionales de la prensa merecen respeto y no actitudes matonescas de parte del Presidente Boric.

#PrepotenciaPresidencial https://t.co/AutAYlBkib"
Reply,Fuente de la noticia @latercera https://t.co/TyTixn94cN
Tweet,Denuncia de @biobio sobre acción de amedrentamiento del Presidente Boric a fotógrafo en patios de La Moneda es grave y requiere de aclaración inmediata del gobierno. Libertad de prensa es esencial y no se puede ejercer bajo amenazas por parte del Presidente de la República
Retweet,"Es impresentable que la jueza Viviana García ordene a la fiscalía entregar las identidades de 5 testigos protegidos en la investigación contra Héctor Llaitul. Las víctimas necesitas la máxima protección.
https://t.co/ROX9uyVSea"
Retweet,"La democracia está en riesgo. El pasado encuentro ""Construir Futuro"" es una amenaza al igual que el foro de Sao Paulo y el Grupo de Puebla. Te compartimos la carta enviada de nuestro investigador de #IR @josealleon  en #ElLibero
👉🏻 https://t.co/knjKwjT4sN https://t.co/FYhMx3tchx"
Tweet,"Frente a un caso de acoso y maltrato laboral, no puede haber dos posiciones. ¿Por qué el gobierno destituye a una Seremi y no a la amiga del Presidente Boric y protegida de la Ministra de la Mujer? ¿Hay trabajadores de primera y segunda clase frente al maltrato? https://t.co/4dl505zbLP"
Retweet,"Los profesores no están para vandalizar iglesias, destruir torniquetes, o mostrar este tipo de ejemplos deplorables. Los profesores estamos para construir una sociedad sana, con valores y principios que inculcamos día a día a nuestros queridos alumnos.
#sinfiltrostv https://t.co/BX9qrrbLlw"
Tweet,"Los extranjeros que entraron de manera clandestina a Chile y que mantienen su condición ilegal, deberían ser:"
Retweet,Capítulo 2 de nuestra Franja B. ¿Está fácil buscar pega? ¿O algunos la tienen más fácil que otros? https://t.co/oRfghvFTO0
Retweet,"Conoce en detalle el trabajo que realizamos en el Centro de Estudios IR. Por un Chile libre ¡Comparte!

https://t.co/5clttjZsjG https://t.co/SuLKJp2KCx"
Tweet,El Ministro de Educación de Chile
Retweet,Bienvenido @tomasbengolea a nuestra familia Republicana. Un rostro joven para trabajar por la libertad y por nuestro país. Gracias por tu entrega al servicio público para que juntos #Recuperaremos y #Reconstruyamos Chile https://t.co/oOhxgSKIOY
Tweet,Hoy hemos presentado al Gobierno nuestra propuesta #CeroIlegales para enfrentar de manera decidida y concreta la inmigración ilegal. Chile no resiste más extranjeros ilegales y es hora de expulsar a todos aquellos que se encuentran de manera clandestina en el país https://t.co/llsjB2c8yT
Reply,"Finalmente, se requiere la construcción de Centros de Detención Provisoria a lo largo de todo el país, para albergar a los extranjeros ilegales previo a su expulsión y establecer los medios de transporte para expulsarlos por cielo, mar o tierra según sea el caso #CeroIlegales"
Reply,Chile no resiste más inmigración ilegal y llegó la hora de avanzar con medidas concretas para terminar con esta grave amenaza para la seguridad nacional y pública de todos los chilenos #CeroIlegales
Reply,"Además, hemos solicitado la utilización del 2% constitucional para contar con los recursos que permitan financiar los gastos operativos de la implementación de este plan lo más pronto posible. Estamos en una emergencia y se requieren medidas extraordinarias #CeroIlegales"
Reply,"Asimismo, aprobar los cambios constitucionales y legales que permitan tipificar el delito de ingreso ilegal al país para habilitar la expulsión pronta y efectiva de los extranjeros ilegales #CeroIlegales"
Reply,"Entre otras medidas, necesitamos un Ministro especial dedicado a coordinar a todos los servicios e instituciones y una Fuerza de Tarea policial y militar que permita la identificación, detención y expulsión de extranjeros ilegales en Chile #CeroIlegales"
Tweet,Hoy hemos presentado al Gobierno nuestra propuesta #CeroIlegales para enfrentar de manera decidida y concreta la inmigración ilegal. Chile no resiste más extranjeros ilegales y es hora de expulsar a todos aquellos que se encuentran de manera clandestina en el país https://t.co/llsjB2c8yT
Retweet,"#CeroIlegales 

Hoy @joseantoniokast junto a parte de la bancada del @PRChile y candidatos al #ConsejoConstitucional presentan el plan #CeroIlegales para frenar la inmigración descontrolada y presentar medidas para el control migratorio. https://t.co/Aai28VxYce"
Tweet,"Según Cadem, Republicanos tiene la mejor franja. Pero, ¿quién le cree a Cadem? 

Lo que si creo, es que este hit está tremendo! A compartir! https://t.co/6ttIPmnfHo"
Tweet,Carabineros atacados a pocas cuadras de donde vive el Presidente Boric. ¿Habrá despertado? https://t.co/0r1OMXWK9D
Tweet,El viernes estuve en la Feria 4 Canchas de Hualpen. En un sector de la feria no se corta el tránsito. Ello constituye un riesgo evidente para transeúntes y comerciantes. Que esperan las autoridades para solucionar este problema ? Que ocurra algún accidente ? ⁦@MuniHualpen⁩ https://t.co/jXQ1cpBWgV
Retweet,"➡️DECLARACIÓN PÚBLICA⬅️

#DiputadosRepublicanos #BancadaRepublicana #RepublicanosChile #boric #seguridad https://t.co/iZ8jApESSs"
Tweet,Hoy junto con @safigueroa @PatriciaBesaT y @dominguezchile pudimos acompañar a nuestro diputado @BenjaminMorenob en #Rancagua un gran encuentro con las tradiciones y la chilenidad #VivaChile 🇨🇱 https://t.co/iXpKlVCFDT
Tweet,Al parecer la tónica de administraciones del FA y PC tanto a nivel de gobierno como de municipios es el maltrato laboral. Aquí parte de lo que sucede en el Municipio de Valdivia.  https://t.co/L7woTfWDIC
Tweet,Otra acusación de acoso más. La CUT y el Ministerio del Trabajo callados. Este gobierno viola los derechos de los trabajadores que supuestamente defendía.
Tweet,"Esta es la “campaña” del gobierno para promover la elección del 7 de mayo. Se gastan millones de pesos en asesorias, sueldos y viaticos, pero justo ahora quieren ahorrar en la promoción de la democracia.

Saben que van a perder y que el pueblo votará en contra de su mal gobierno"
Tweet,Brutal asesinato en Curacaví. Dueño de casa asesinado por banda de delincuentes que lo asaltaron de madrugada. ¿Siguen celebrando las 40 horas mientras asesinan a chilenos? https://t.co/nYOqyzsYSr
Tweet,"¿En qué mundo viven?
 https://t.co/gJnlFFzb58"
Tweet,"Gran #ReGiraRepublicana por la Región del BioBio junto a los candidatos del @PRChile 
@SpoererPatricia @AldoSanhueza @claudiaortega_  @opina_cog y a nuestro diputado @DipCristobal Seguimos trabajando por un Chile libre y en paz 🇨🇱 https://t.co/9HJe3elZBM"
Retweet,"Terminando nuestra gira #REpublicana en #AricaYParinacota junto a nuestros candidatos al Consejo Constitucional: Francisca Cavieres, Diego Vargas, Jacquelinne Boero y Carlos Alvarado.
#REconstruir #REcuperar #REpublicanos https://t.co/fpCiPWVJRf"
Retweet,"Seguimos recorriendo la región del #Biobio junto a los candidatos al #ConsejoConstitucional del @PRChile 

Sigue la REgira Republicana de @joseantoniokast para #Reconstruir y #RecuperarChile https://t.co/sU3dl8zzij"
Tweet,"Les comparto parte de nuestro recorrido por la región del #Biobio  junto a pescadores, artesanos, emprendedores y Republicanos de #Concepcion #Coronel y #LosAngeles compartiendo y escuchando las verdaderas urgencias sociales de los chilenos para #Reconstruir y #RecuperarChile https://t.co/7zfuJa2FQt"
Tweet,¿Hasta cuándo se tolera la incompetencia de un Ministro?
Tweet,El precio del Litio ha caido 2/3 desde noviembre y China avanza en reemplazarlo con baterias de sodio. ¿Y cómo responde Chile? Recién anunciará su Estrategia del Litio la próxima semana. Ausencia de visión y exceso de ideologia de éste gobierno y también de los anteriores. https://t.co/VPR9UMnCzm
Tweet,Espero que el Alcalde Tomás Vodanovic destituya mañana mismo a la Directora de Tránsito de Maipú por estas graves declaraciones. No es aceptable que la funcionaria pública Anai Muñoz @LaAnaisinS opine así de nuestras Fuerzas Armadas y de Orden. https://t.co/nHo4obLaIH
Retweet,"🔴 AHORA ‼️

Acompaña a @joseantoniokast junto a los candidatos al #ConsejoConstitucional por la región del BioBío 

No te lo pierdas 👉🏻 https://t.co/v9DaMxqvap

#REConoceATuCandidato https://t.co/3S1GKKGlqn"
Retweet,"La contraloría nos ha dado razón en todos los puntos respecto de la compraventa fraudulenta de la ex clínica Sierra Bella. En respuesta a oficio mio, ha establecido también que alcaldesa Hassler no tiene ninguna facultad para operar una clínica. Es hora que la alcaldesa renuncie."
Tweet,Siguen los ataques a Carabineros mientras el Presidente Boric trepa por Chile
Tweet,"Suman y siguen las acusaciones de acoso y maltrato en el gobierno. Ahora un Seremi de Educación ybun Seremi de Desarrollo Social son acusados de maltrato. Esta es el verdadero rostro del gobierno de “los trabajadores” . ¿Y la CUT? Ya no llora, solo factura. https://t.co/taNP1IHFhN"
Tweet,"Millones de pesos en asesorias comunicacionales para enfrentar la crisis de seguridad, en vez de usarlos para proteger a nuestros Carabineros y los chilenos que son víctimas de la delincuencia."
Tweet,"Junto con la renuncia de la Alcaldesa Hassler, esperamos la renuncia del Subsecretario comunista, Nicolás Cataldo, quien uso su cargo para respaldar con mentiras el fraude de Sierra Bella. https://t.co/cO07TaZBge"
Tweet,"Contraloria confirma irregularidades de la Alcaldesa del Partido Comunista, Iraci Hassler en Santiago. Ya pasó la hora de las investigaciones, llegó el momento de asumir las responsabilidades."
Retweet,"Jonathan Acuña es el nuevo alcalde de #Ovalle ¿Quieres conocer por qué ocurrió esto?  Revive el último video que armó el área de Fiscalización de IR #YoTeFiscalizo 
https://t.co/8njSI2qDwb"
Retweet,"🔴 EN VIVO

@josantoniokast inicia su recorrido por el #Biobio junto a nuestros candidatos al #ConsejoConstitucional 

Escúchalo en #RadioBioBio de Concepción
https://t.co/seEKcW48B1 https://t.co/eE5j18b3jr"
Tweet,"¡Atención Biobio! En un rato más estaremos recorriendo la región junto a los candidatos al #ConsejoConstitucional 
Nos vemos ✌🏼 https://t.co/rfdq8ZkUQH"
Tweet,Estamos a un mes de la elección y los Republicanos necesitamos tu ayuda para derrotar a la izquierda y defender a Chile. Aporte en https://t.co/mp5Rq1KGLS https://t.co/gH3PbgJ282
Tweet,Es impresentable que este señor siga siendo Subsecretario.
Retweet,"🚨 Exigimos el regreso inmediato del Presidente Gabriel Boric a La Moneda 😤

➡️La crisis de seguridad que vivimos requiere de su presencia en su oficina de trabajo y no que ande cortando cintas...

#BancadaRepublicana https://t.co/sNEv7DNmri"
Retweet,"*MÁS RECURSOS PARA BOMBEROS*

Esta es una institución noble, cuyos integrantes prestan un gran servicio a la comunidad y al país, como parte de una vocación de entrega a los demás. Por eso, el proyecto que permite destinar las acreencias bancarias a Bomberos es una gran medida. https://t.co/RKiHZMIfrs"
Tweet,"Este gobierno no está presente ni gobernando. Hoy atacaron a Carabineros en La Florida y en La Ligua y un ataque infame contra la familia del asesinado Cabo Salazar. El lugar de un Presidente es en La Moneda, liderando la respuesta a la crisis de seguridad. Basta de poesía https://t.co/hlDN9o3ejB"
Tweet,Muy buena jornada con los candidatos Republicanos de la #ReGiraRepublicana por la maravillosa región de Aysen. A seguir trabajando por un Chile libre y en paz un abrazo @luz_villegas @SanCris90 @JoshuaMillanao y NievesCuevas https://t.co/CYjhjk5Qja
Retweet,"¡Defendí la ley Naín-Retamal en Sin Filtros, como nunca lo habías visto! #Republicanos
#ConsejeroLuisSilva #ElProfeSabe https://t.co/aMYVzoniUX"
Retweet,"Protección para la familia del mártir Alex Salazar. 

Y a todas las familias de carabineros amenazados por el narco y la delincuencia. https://t.co/s8SZBx07nv"
Tweet,Liceo de Aplicación en llamas luego de manifestaciones. ¿Y el Presidente Boric? Se va de gira para evadir el debate sobre seguridad. https://t.co/8phRccVIOH
Tweet,Tres Carabineros baleados en La Florida. Y el Presidente Boric se va de gira. Irresponsable!  https://t.co/B1C7yFlmCr
Tweet,"Cuando más se necesita que el Presidente Boric asuma su responsabilidad con el país, arranca y abandona la agenda de seguridad. ¿Para qué gobierna si no tiene el coraje de enfrentar las urgencias que tiene Chile?"
Retweet,"Tenemos un terrorismo marcado que no es mentira, que no es ficticio, que no lo vivimos a diario.. lo vivimos a diario”. @Marielaandreafm 👩🏼‍🦰 

Chile necesita #Recuperar sus regiones y el #Respeto hacia ellas.

En la Araucanía vota @Marielaandreafm , Vota C-13 🇨🇱 https://t.co/UZwSYbl4Xv"
Tweet,Trágico asesinato en Recoleta: una niña de solo 17 años murió de un infarto mientras asaltaban su casa. Miserables!
Retweet,"La gente trabajadora necesita certeza de que saldrá a trabajar y volverá a su hogar a compartir con su familia🇨🇱❤️ En la región del Biobío Vota C-11 Claudia Ortega
Para volver a #VivirSinMiedo y a #TrabajarSeguro https://t.co/mlUoRHiAMy"
Retweet,No hay que ser economista para saber que el proyecto de 40 horas laborales es una idea populista que va a afectar particularmente a las Pymes. No estamos en momentos de bajar esa productividad. El país se construye trabajando.
Retweet,"¡La inmigración ilegal se ha convertido en un verdadero flagelo para Chile!
#RecuperemosChile
#TatianaBernal #consejeraconstitucional #regiondevalparaiso #votaC9 #PartidoRepublicano https://t.co/K9y1AJTWvX"
Retweet,"🇨🇱 Gracias @UrrutiaporChile por tu apoyo y confianza, este 7 de Mayo vota por Miguel Rojas, el Candidato de Kast en la Región del Maule 🗳️C-14 

#ElCandidatoDeKast #Republicanos https://t.co/n1xbKJoZHg"
Retweet,"Si hoy te perdiste la #REfranja del @PRChile a continuación te cuento las razones para asumir el desafío de ser el #consejerosekast  por la región de O’Higgins: “Quiero ser consejero porque quiero defender a la familia, la libertad y nuestras tradiciones”  🇨🇱 ✌🏻 https://t.co/0f9kd9MtyD"
Retweet,"¡EN VIVO!

@joseantoniokast junto a los  candidatos Republicanos al Consejo Constitucional conversan en un nuevo live. ¡Conéctate! Y #REConoceATuCandidato de la región de Aysén 
👉🏻 https://t.co/hLE58DgkVl https://t.co/qc3VGeR1EV"
Tweet,"EN VIVO🕘
Conversando con los candidatos Republicanos al #ConsejoConstitucional de la región de #Aysén 
#REConoceATuCandidato
Necesitamos llegar a todo Chile

👉🏻 https://t.co/2JoGP4YoFn

Dale like 👍🏻"
Retweet,Mañana  los concejales de #Ovalle decidirán quién presidirá el Municipio tras la destitución del Alcalde. Conoce  más antecedentes en el siguiente video https://t.co/Uo1NTa3VKB
Tweet,"Hoy se aprobó el proyecto #40Horas , una iniciativa que le hace un tremendo daño a un Chile que necesita crecer, generar empleo y aumentar la productividad. Felicito a la Bancada Republicana por su coraje y convicciones al votar en contra y defender de verdad a los trabajadores https://t.co/RbZIPIoO1O"
Reply,El desempleo va al alza y son las mujeres y los jóvenes los que más lo sufren; la economía será este año la peor de Latinoamérica y el gobierno no ha impulsado una agenda de reactivación que es indispensable para salir de la crisis en la que estamos.
Reply,"Los Republicanos nacimos para recuperar y reconstruir Chile, y es en este tipo de proyectos, aparentemente “populares”, donde nos jugamos nuestro futuro y debemos actuar con responsabilidad."
Reply,"Chile necesita más flexibilidad y no más restricciones; Chile necesita más empleo y mejores sueldos, no menos; Chile necesita aumentar su productividad, no estancarla para siempre."
Reply,"En el mundo ideal, los chilenos ganarían una hora más al día; en el mundo real, los chilenos más pobres y la clase media terminarán pagando el costo, tendrán que trabajar más y asumirán el aumento del costo de vida que será la consecuencia de esta irresponsabilidad"
Retweet,"¿Conoces el trabajo que realizamos en IR? En el siguiente video te contamos un resumen del #2022. 
Si defiendes las ideas de la #libertad ¡Comparte!   https://t.co/GOYroT24S4 https://t.co/PBZuUhOHyZ"
Tweet,Porque este 7 de mayo los #Republicanos vamos a trabajar por #REcuperar y #Reconstruir nuestros país. Hoy recorrimos #Aysén junto a los candidatos al #ConsejoConstitucional . Nos vemos en un rato #Coyhaique ✌️ https://t.co/zBLTU2gvch
Retweet,"🔴 EN VIVO 

@joseantoniokast inicia su recorrido por #Aysén junto a los candidatos al #ConsejoConstitucional 

Escúchalo en #RadioMilenaria 
95.7 FM 
👉🏻 https://t.co/bLn5P6ySI5 https://t.co/6UYwiWAUBk"
Tweet,"Buenos días!! En unas horas más estaremos recorriendo Aysén 
Súmate a nuestra #GiraRepublicana ✌🏼 https://t.co/Zs2zMU3OAd"
Retweet,"Antofagasta y todo Chile está abandonado en temas de seguridad, económicos y sociales. Te compartimos la entrevista a @joseantoniokast en #DiarioElMercurio de #Antofagasta https://t.co/mWRiYo3Nbz"
Retweet,¿CNTV permitiría que ésta fuese la franja republicana? Un resumen del foco del gobierno. https://t.co/b3Xgn1MUC0
Tweet,"Acoso sexual, discriminación y maltrato laboral en el corazón de La Moneda y el Ministerio de la Mujer. Cuando una piensa que el gobierno no puede caer más bajo, siempre están dispuestos a sorprender."
Tweet,"Las encuestas van y vienen, a veces estamos arriba y otras abajo, siempre ha sido así. Llevamos meses recorriendo el país con una sola motivación: que Republicanos tenga una gran elección y defendamos a Chile en una Constituyente que no queríamos, pero es nuestro deber participar https://t.co/t9NkyLPBb0"
Reply,"Los que se puedan sumar como voluntarios y apoderados, son muy bienvenidos. Los que puedan aportar, aunque sea $1.000, su ayuda es fundamental. No tenemos grandes aportes, sino que cientos de pequeños apoyos que nos permiten seguir avanzando https://t.co/D7MELhTi2x"
Reply,Muchas gracias por el apoyo de siempre. Queda un mes de campaña y con orgullo podemos decir: hoy es un gran momento para ser Republicano ✌️🇨🇱
Reply,"La izquierda puede aparecer derrotada y dividida, pero no descansa nunca. Van a seguir luchando para imponer sus ideas refundacionales a través de proyectos que dividen y destruyen a Chile. No hay nada que celebrar, hay que trabajar con más fuerza, sin dejar puerta que tocar. https://t.co/IZXQtSlWxi"
Retweet,Inscríbete a https://t.co/Occ5qaxAkz https://t.co/KlMfqf2A0E
Tweet,Para que el mensaje de nuestros candidatos llegue a más personas necesitamos de tu apoyo. Ayúdanos con tu aporte a través de https://t.co/hENjEBQM7O y juntos #RecuperemosChile 🇨🇱 https://t.co/vh8qiVpl02
Tweet,Ni 24 horas duró el respaldo a Carabineros: Ministra Toha confirma que podrían cuestionar a Carabinero que usó la Subametralladora UZI ayer para detener a delincuentes que atropellaron a otro Carabinero https://t.co/hkxrPaGmrd
Retweet,"La izquierda habla de violencia política, habla de extremos. Esta es la verdadera cara de la izquierda en su franja electoral. Piden una tregua por arriba y promueven una infamia por debajo. Háganse cargo. https://t.co/uz3WPbPJ8R"
Tweet,"Bien Diputado. Costó, pero salió. 

Ojalá pueda hacer algo en su partido para que no la exhiban más y para que borren los tweets donde la celebran. El horror del nazismo no es algo “juguetón” como dijo el Presidente del Partido Liberal. Millones fueron anhiquilados brutalmente."
Retweet,"Este @gobierno NUNCA ha creído en la seguridad ni en cuidar a Carabineros.

@munoz_baeza debe RENUNCIAR ahora  a la @SubPrevDelito.

Los vecinos ya no estamos dispuestos a tener un #GobiernoOctubrista. @min_interior https://t.co/2kzqC2NT7a"
Tweet,"No solo exigimos la renuncia de Eduardo Vergara, Subsecretario de Prevención del Delito, por no hacer nada. También la de su Jefe de Asesores, Rodrigo Muñoz Baeza @Munoz_Baeza , por odiar a Carabineros. Es una verguenza que siga en su cargo. https://t.co/vwXjztbUCc"
Tweet,"Lo único que queda claro de este patético intento de excusa para responder, es que el Presidente de la Cámara de Diputados @vladomirosevic legitima la caricatura burda y violenta en contra de mi persona hecha por su partido y validada por la coalición oficialista. https://t.co/Yw8yQDNU6r"
Tweet,El nuevo Presidente del @CNTVChile es Mauricio Muñoz involucrado en graves acusaciones cuando era Secretario General de la Corporación Municipal de San Bernardo. ¿Qué garantías entrega en este proceso eleccionario? https://t.co/Sl7GjTQ905
Retweet,"Los mismo q piden treguas, q apelan a unidad, q se llenan la boca con buscar entendimiento entre chilenos, incurren en esta bajeza al caricaturizar al adversario. 

No solo es una falacia sino que banalizan tragedia del holocausto judío con tal de anotarse puntos políticos."
Tweet,"A diferencia de usted Senador, que apoyó la violencia en contra de Carabineros y millones de chilenos, nosotros siempre luchamos con ideas y convicciones profundas, jamás con violencia. Seguiremos trabajando para sacarlo del Congreso y derrotar al comunismo en todo Chile https://t.co/O72ka6hkI4"
Tweet,Todavia espero las explicaciones del Presidente de la Cámara de Diputados @vladomirosevic por este infame video. https://t.co/TGMPf37AHz
Retweet,"Nos hicieron una revolución y por eso rechazamos ❌ 
Ahora #SoloQuedaRepublicanos para #Reconstruir y #Recuperar nuestro país.🇨🇱 https://t.co/uNqs3s3DTH"
Tweet,“Tregua” https://t.co/FfJu8iEg9d
Retweet,"“Amamos nuestro trabajo”
Palabras de Daniel Palma, un nuevo mártir de carabineros.

Nuestro corazón está con su familia y nuestra exigencia es firme:

No + violencia 
No + mártires

#ParaVivirSinMiedo 💪♥️🇨🇱 https://t.co/a1xubmEMl8"
Retweet,"Reasignemos recursos a Carabineros, desde el INDH, programa de transversalizacion de género (Mineduc) y programa de derechos humanos de la Subsecretaria de Justicia, donde también hay 150 millones en programa para estudiar reparaciones a delincuentes del estallido delictual...."
Tweet,"Increible registro de @24HorasTVN con el ultimo testimonio del Cabo Palma. Un amor por la Patria, su familia y un espíritu de servicio sin igual. https://t.co/xc0JmC9rhK"
Tweet,"Ministro de Justicia se niega a implementar medida del Fiscal Nacional porque hay muchos presos. En vez de quejarse, podria acelerar la construcción de cárceles, en vez de seguir tolerando a los delincuentes en la calle."
Tweet,Terminando la #ReGiraRepublicana por la Región de Coquimbo junto a nuestros candidatos @gloriaparedesAB @aguerrido1978 @tereprouvay @SERGIOP79762279 https://t.co/g5PmfrNU2G
Tweet,¿De qué sirve un Subsecretario de Prevención del Delito que no previene ningún delito? ¿Cuántos Carabineros tienen que morir para que renuncie por dignidad? https://t.co/DHnVlG9djM
Tweet,https://t.co/IgEzOYiLLh
Tweet,https://t.co/OlY27WwxLR
Tweet,"No son pacos, son Carabineros. Y los estan matando. Algunos medios de comunicacion también fueron encubridores de la violencia y responsables de la deslegitimación de Carabineros. Es hora de que asuman su responsabilidad https://t.co/3QKQmUu8pb"
Retweet,"¡AHORA!
@joseantoniokast en #RadioSanBartolome conversando acerca del brutal asesinato a un nuevo mártir de Carabineros
👉🏻 https://t.co/jxM3zRxtvV https://t.co/9iUWkWbofx"
Retweet,Cada vez estamos peor @PRChile  @joseantoniokast @Jou_Kaiser @arturo_squella @vicentebrunaf @JaimeMelkon https://t.co/asUWilHXXu
Tweet,Presidente Boric: no se siga escondiendo. Hay que dar la cara y asumir la responsabilidad para evitar que maten a más Carabineros. Es hora de liderar y gobernar. https://t.co/6ZoHM6d7k3
Tweet,EN VIVO 🔴 en la gran @MiRadiols https://t.co/omoF37L18h junto a Roberto Dueñas ✌️
Retweet,"🔴 EN VIVO 

@joseantoniokast en #MiRadio conversando acerca de nuestra contingencia y el nuevo proceso constituyente 
👉🏻https://t.co/w8QOejSszO https://t.co/q2JQOoGCZU"
Tweet,"Ha muerto el cabo Palma. Asesinado defendiendo a su pais. Solo dolor, impotencia y frustración."
Tweet,"Desde La Serena, le exigimos al Presidente Boric que comience a gobernar. Carabineros no resiste más. https://t.co/dqVFrZ2ULi"
Retweet,"🔴 AHORA 

¡Conéctate al live de @joseantoniokast junto a los  na candidatos Republicanos! Y #REConoceATuCandidato
👉🏻 https://t.co/Zhghiztyre https://t.co/YNSXMYkj7x"
Tweet,Otro Carabinero baleado en la cabeza y grave camino al hospital. Presidente Boric: basta ya! https://t.co/7R3siY6zsg
Retweet,"Aunque no quedé totalmente conforme con norma final, hoy respaldamos a Carabineros aprobando #LeyNainRetamal que los protegerá de mejor forma ante la delincuencia, ley que apoyé y patrociné desde el principio.Pero OJO, q otra vez el PC contra los chilenos si se atreven a ir al TC https://t.co/5pjkNqfaao"
Retweet,"Ahora el presidente @GabrielBoric tiene la oportunidad de demostrar con hechos si le interesan los carabineros o no.

Promulgue ahora la ley Nain-Retamal para que los carabineros puedan actuar"
Retweet,"Junto al Cabo Sebastián Zamora contentos por la aprobación de la ley Naín-Retamal. 

¡Aún hay Patria, ciudadanos! 🇨🇱 

#LeyNainRetamal https://t.co/XKa7cy0ohZ"
Retweet,Espero que el Presidente @GabrielBoric no dilate la promulgación de la Ley Nain Retamal. Chile no aguanta que la protección a nuestros Carabineros siga esperando.
Tweet,"Presidente Boric: es hora de promulgar la Ley Nain-Retamal. Mientras más se demore, más oportunidades tendrá el Partido Comunista de llevarlo al TC. 

Queremos ver al perro que persigue la delincuencia, no al cachorro del PC."
Retweet,"🔴 HOY 21:00 HRS. 

No te pierdas el LIVE de @joseantoniokast  junto a los candidatos del @PRChile de la región de Coquimbo
¡Conéctate! https://t.co/Zhghizu6gM https://t.co/yqOi7kydbz"
Tweet,Desde #Ovalle reunidos con vecinos y locatarios. Nos vemos en un nuevo REcorrido Republicano junto a nuestros candidatos al #ConsejoConstitucional en #LaSerena ✌️ https://t.co/tTAMuWLcdA
Retweet,"👁‍🗨Comité de Ética de la Cámara de Diputados inicia investigación por caso Maite Orsini. Las posibles sanciones son: llamado al orden, amonestación o censura y siempre una pena anexa de multa, que va del 2⃣% al1⃣ 5⃣% de la dieta mensual. Mira la info en⬇️ https://t.co/qNKASWiaog"
Retweet,"Hoy participé en la conmemoración de la batalla de #Maipú, mientras seguimos librando la batalla contra la delincuencia. 

Desde mi comuna de origen reafirmo mi compromiso por tu seguridad.

#ParaVivirSinMiedo este 7 de mayo #VotaC13
#LaCandidataDeKast 🇨🇱♥️💪 https://t.co/oZFIQMqLYa"
Retweet,"En el debate de T13, expuse una verdad muy importante... si los particulares abusan, nos protege el Estado. Pero si el Estado tiene todo el poder y abusa... ¿Quién nos protege del Estado? Vota Luis Silva C-14
#ConsejeroLuisSilva #ElProfeSabe https://t.co/yAEbvBnzJ6"
Tweet,"Un ejemplo del abuso del Estado a través de las bencinas. Creen que el auto es un lujo, pero para millones de chilenos es una necesidad. ¿A cuánto está la bencina en tu región? ¿Cuánto pagas de impuesto? #NoMasImpuestoCombustibles https://t.co/jigDJkErpG"
Reply,@gazvalcruz https://t.co/rhxBZa789f
Reply,@pedro_vasquezs https://t.co/rhxBZa789f
Reply,@migajar https://t.co/rhxBZa789f
Reply,@pmmz1982 https://t.co/rhxBZa789f
Reply,@ap_andrespena https://t.co/rhxBZa789f
Reply,@capuccin0venti https://t.co/rhxBZa789f
Retweet,"¿Se acuerdan que hace un par de años la bencina estaba más barata y el país funcionaba mejor?
Para que vean que subir impuestos NO sirve si el problema es mala gestión de los mismos.

#NoMasImpuestoCombustibles 
#NoMasImpuestosCombustibles 

#REcuperarChile
#VotaREpublicanos https://t.co/pXr7CY9ZJ9"
Retweet,"Parte de nuestra conversación junto a la gran @PollyanaConsti1, ex-Convencional del @PRChile. 

Chilenos también son todos los que nos precedieron y todos los que vendrán. Por todos ellos debemos trabajar para REconstruir nuestro querido Chile 🇨🇱💪🏽

#Arica #GatilloFacil #Mega https://t.co/eSufL5Lamb"
Retweet,"Por un Chile nuevo y nuevas caras en política, por un nuevo camino, por personas serias y profundamente comprometidas. #VotaBienInformado.  #ElNuevoCaminoESREPUBLICANO. #GloriaParedesVotaC9Coquimbo. https://t.co/dsFnTTWkxt"
Tweet,Atentos con el @profesor_silva a las 22:30!
Retweet,"¿Sabias que finalmente NO existirá una clínica Municipal? Desde IR te compartimos los nuevos antecedes de la #ClinicaSierraBella 
Gracias a la labor de fiscalización se detuvo la compra de lo que podría resultar una estafa desde el Municipio de Santiago
👉🏻https://t.co/nzZBnPgQRi https://t.co/bQepLiy6L0"
Tweet,"Cerrado la #ReGiraRepublicana por la región de Antofagasta gracias a nuestros candidatos Republicanos que asumieron este gran desafío de representarnos en el Consejo Constitucional @carlossolarb @siomaramolina9 @patrici49335836 
@CarmenM05875475 https://t.co/GFC78WahGZ"
